FlightDate,Reporting_Airline,Origin,Dest,Tail_Number,CRSDepTime,DayOfWeek,Distance,ArrDelayMinutes,Cancelled
2023-01-01,B6,SEA,MSP,N150DL,1900,7,1224,0.0,0
2023-01-01,WN,BOS,LAX,N242DL,1200,7,786,0.0,0
2023-01-01,AA,ATL,SEA,N213DL,1400,7,1383,4.5,0
2023-01-01,DL,SEA,MSP,N221DL,2100,7,777,0.0,0
2023-01-01,UA,BOS,DEN,N183DL,1400,7,1101,0.0,0
2023-01-01,DL,MIA,JFK,N261DL,0800,7,1890,0.0,0
2023-01-01,DL,ATL,BOS,N221DL,1200,7,1898,4.7,0
2023-01-01,NK,MIA,ATL,N180DL,1500,7,712,15.4,0
2023-01-01,UA,DEN,JFK,N141DL,1800,7,1751,8.9,0
2023-01-01,NK,DEN,MSP,N367DL,0600,7,1468,0.0,0
2023-01-01,B6,MIA,JFK,N123DL,1100,7,1587,0.9,0
2023-01-01,DL,LAX,MSP,N341DL,2100,7,1700,0.0,0
2023-01-01,AA,ORD,BOS,N117DL,1500,7,1849,0.0,0
2023-01-01,WN,LAX,JFK,N112DL,1700,7,2222,0.0,0
2023-01-01,UA,JFK,SEA,N166DL,1100,7,262,0.6,0
2023-01-01,DL,MIA,MSP,N372DL,0600,7,1192,0.0,0
2023-01-01,NK,SEA,BOS,N101DL,1700,7,273,5.2,0
2023-01-01,UA,DEN,ATL,N294DL,1900,7,1782,0.0,0
2023-01-01,WN,MIA,ATL,N148DL,2100,7,1177,0.0,0
2023-01-01,DL,MSP,LAX,N174DL,2000,7,1509,0.0,0
2023-01-01,UA,MSP,ORD,N290DL,0900,7,1227,0.0,0
2023-01-01,AA,JFK,ATL,N256DL,1900,7,2022,0.0,0
2023-01-01,NK,JFK,DEN,N392DL,0900,7,368,0.0,0
2023-01-01,UA,JFK,MIA,N195DL,0800,7,1998,0.0,0
2023-01-01,WN,ORD,JFK,N374DL,1600,7,1796,0.4,0
2023-01-01,UA,ORD,MSP,N239DL,1300,7,1802,28.7,0
2023-01-01,NK,MSP,ATL,N195DL,1500,7,1614,0.0,0
2023-01-01,DL,DEN,LAX,N146DL,2100,7,1394,31.4,0
2023-01-01,AA,DEN,MIA,N232DL,1100,7,644,1.2,0
2023-01-01,DL,ORD,MSP,N323DL,1900,7,1380,0.0,0
2023-01-01,NK,DEN,DFW,N351DL,1400,7,1812,4.8,0
2023-01-01,UA,LAX,DFW,N220DL,0800,7,661,0.6,0
2023-01-01,NK,DFW,SEA,N332DL,1400,7,2297,23.3,0
2023-01-01,B6,MSP,DEN,N289DL,0800,7,966,0.0,0
2023-01-01,UA,DEN,DFW,N177DL,0600,7,2337,2.5,0
2023-01-01,B6,JFK,MSP,N241DL,1700,7,1903,4.6,0
2023-01-01,B6,ORD,DEN,N205DL,1700,7,695,0.0,0
2023-01-01,B6,LAX,DEN,N142DL,0700,7,1967,1.3,0
2023-01-01,B6,JFK,ORD,N390DL,0500,7,1301,3.1,0
2023-01-01,DL,DEN,ATL,N128DL,1700,7,1874,4.2,0
2023-01-01,UA,ATL,MSP,N196DL,1000,7,1500,0.0,0
2023-01-01,WN,MSP,BOS,N130DL,1300,7,542,3.3,0
2023-01-01,DL,MIA,ORD,N138DL,1800,7,1628,7.7,0
2023-01-01,WN,DFW,LAX,N370DL,1200,7,2261,0.0,0
2023-01-01,UA,JFK,BOS,N232DL,1800,7,1442,0.0,0
2023-01-01,B6,DEN,MIA,N143DL,1700,7,1172,0.0,0
2023-01-01,UA,ATL,JFK,N317DL,2200,7,212,1.6,0
2023-01-01,UA,DFW,MIA,N353DL,1700,7,2050,14.7,0
2023-01-01,DL,BOS,MSP,N125DL,1900,7,1818,0.0,0
2023-01-01,DL,ATL,LAX,N106DL,1000,7,404,0.0,0
2023-01-01,B6,MIA,ATL,N327DL,1400,7,1437,17.9,0
2023-01-01,AA,DEN,BOS,N175DL,1400,7,1617,0.0,0
2023-01-01,B6,ATL,JFK,N302DL,1900,7,403,0.0,0
2023-01-01,WN,SEA,MIA,N214DL,1700,7,2011,0.0,0
2023-01-01,UA,ATL,BOS,N347DL,2000,7,2253,34.3,0
2023-01-01,DL,MSP,BOS,N149DL,1200,7,1017,0.0,0
2023-01-01,B6,ORD,SEA,N309DL,1300,7,2023,0.0,0
2023-01-01,NK,MSP,DEN,N173DL,0800,7,204,0.0,0
2023-01-01,B6,MSP,DEN,N272DL,1000,7,1776,0.0,0
2023-01-01,NK,MSP,MIA,N316DL,1300,7,2455,0.0,0
2023-01-01,UA,ATL,DEN,N393DL,0800,7,2259,0.0,0
2023-01-01,AA,DFW,MIA,N235DL,1200,7,918,0.0,0
2023-01-02,WN,SEA,BOS,N156DL,0500,1,1471,0.0,0
2023-01-02,AA,MSP,MIA,N124DL,2200,1,2054,0.0,0
2023-01-02,AA,MSP,MIA,N330DL,0500,1,2164,38.1,0
2023-01-02,UA,LAX,DFW,N299DL,0700,1,262,0.0,0
2023-01-02,UA,SEA,DEN,N110DL,1100,1,915,63.9,0
2023-01-02,DL,MSP,BOS,N229DL,1900,1,383,2.0,0
2023-01-02,WN,DEN,ORD,N244DL,2100,1,294,0.0,0
2023-01-02,NK,LAX,ATL,N154DL,0900,1,1324,39.5,0
2023-01-02,WN,MIA,DEN,N153DL,0500,1,328,1.6,0
2023-01-02,UA,SEA,MSP,N148DL,1600,1,2112,41.0,0
2023-01-02,B6,SEA,MIA,N326DL,0600,1,1314,4.6,0
2023-01-02,WN,JFK,ATL,N258DL,1700,1,2448,0.0,0
2023-01-02,UA,MIA,DEN,N324DL,0500,1,2283,2.7,0
2023-01-02,NK,ORD,LAX,N110DL,1200,1,294,45.6,0
2023-01-02,WN,MSP,LAX,N312DL,1300,1,1750,0.0,0
2023-01-02,B6,MSP,LAX,N322DL,1500,1,893,0.0,0
2023-01-02,AA,MSP,LAX,N298DL,0600,1,1047,0.0,0
2023-01-02,DL,DEN,ATL,N147DL,0600,1,1326,0.0,0
2023-01-02,NK,SEA,MIA,N354DL,1500,1,708,2.9,0
2023-01-02,AA,ATL,MSP,N241DL,0700,1,699,0.0,0
2023-01-02,B6,LAX,MIA,N166DL,1500,1,912,0.0,0
2023-01-02,DL,BOS,DFW,N385DL,1000,1,2100,0.0,0
2023-01-02,UA,ORD,DFW,N122DL,0700,1,1648,34.8,0
2023-01-02,B6,LAX,DEN,N127DL,2000,1,238,0.0,0
2023-01-02,WN,DFW,BOS,N230DL,1200,1,1355,37.6,0
2023-01-02,B6,ORD,BOS,N318DL,1200,1,904,0.0,0
2023-01-02,DL,ORD,LAX,N155DL,1400,1,1942,4.5,0
2023-01-02,UA,MSP,BOS,N390DL,2000,1,2496,0.0,0
2023-01-02,WN,MSP,LAX,N380DL,1100,1,337,4.8,0
2023-01-02,UA,SEA,ORD,N237DL,1700,1,2414,0.0,0
2023-01-02,WN,ORD,DFW,N306DL,1300,1,1767,0.0,0
2023-01-02,WN,MIA,ATL,N200DL,1800,1,1256,0.0,0
2023-01-02,B6,DFW,MIA,N380DL,1000,1,285,0.0,0
2023-01-02,WN,DEN,MSP,N216DL,1000,1,1856,1.6,0
2023-01-02,UA,ATL,MIA,N281DL,1300,1,887,0.0,0
2023-01-02,B6,DFW,MIA,N118DL,1600,1,674,3.6,0
2023-01-02,AA,SEA,MSP,N112DL,1800,1,324,0.0,0
2023-01-02,B6,DEN,BOS,N178DL,2200,1,545,0.0,0
2023-01-02,B6,ORD,SEA,N395DL,2200,1,1229,0.0,0
2023-01-02,B6,ATL,MIA,N233DL,1500,1,458,37.5,0
2023-01-02,UA,SEA,ATL,N192DL,0600,1,676,0.0,0
2023-01-02,NK,DFW,MIA,N231DL,2200,1,2379,0.0,0
2023-01-02,AA,BOS,JFK,N384DL,1300,1,1497,0.0,0
2023-01-02,UA,ORD,JFK,N200DL,0500,1,593,27.3,0
2023-01-02,WN,ORD,MIA,N306DL,2000,1,1310,2.0,0
2023-01-02,NK,JFK,SEA,N126DL,1200,1,732,0.0,0
2023-01-02,B6,BOS,DEN,N300DL,1400,1,300,0.0,0
2023-01-02,UA,MIA,DFW,N191DL,0900,1,1371,0.0,0
2023-01-02,B6,MSP,ATL,N222DL,1900,1,1651,0.0,0
2023-01-02,B6,MIA,ORD,N294DL,1300,1,1477,6.6,0
2023-01-02,NK,MIA,BOS,N313DL,1500,1,1551,0.0,0
2023-01-02,DL,LAX,DEN,N150DL,2000,1,2100,0.0,0
2023-01-02,UA,BOS,LAX,N297DL,1900,1,797,3.4,0
2023-01-02,B6,LAX,DFW,N338DL,2200,1,1520,0.0,0
2023-01-02,AA,DEN,ATL,N111DL,0600,1,1495,7.1,0
2023-01-02,B6,MIA,ATL,N238DL,1400,1,847,6.0,0
2023-01-02,B6,JFK,ATL,N296DL,1700,1,575,4.8,0
2023-01-02,NK,DFW,DEN,N235DL,2200,1,1150,19.8,0
2023-01-02,DL,DEN,ATL,N313DL,1300,1,1699,17.7,0
2023-01-02,WN,DEN,ORD,N326DL,0600,1,820,3.6,0
2023-01-02,NK,DFW,SEA,N374DL,2100,1,986,17.8,0
2023-01-02,NK,MIA,BOS,N322DL,2000,1,887,0.0,0
2023-01-02,AA,MIA,BOS,N394DL,2000,1,1765,0.0,0
2023-01-02,UA,DFW,LAX,N315DL,1900,1,1243,0.0,0
2023-01-02,B6,DFW,MSP,N360DL,2200,1,255,0.0,0
2023-01-03,DL,DFW,MIA,N123DL,2000,2,2133,0.0,0
2023-01-03,NK,DEN,ATL,N327DL,1000,2,394,0.0,0
2023-01-03,B6,LAX,ORD,N298DL,2200,2,1699,39.6,0
2023-01-03,NK,BOS,JFK,N291DL,0700,2,350,53.1,0
2023-01-03,UA,DFW,LAX,N153DL,1500,2,483,0.0,0
2023-01-03,UA,LAX,DFW,N237DL,1100,2,512,48.2,0
2023-01-03,B6,ORD,JFK,N131DL,1000,2,2147,2.8,0
2023-01-03,NK,SEA,MIA,N157DL,0800,2,1168,2.8,0
2023-01-03,AA,DFW,ATL,N304DL,0900,2,2498,0.0,0
2023-01-03,NK,ORD,MSP,N354DL,1200,2,464,0.4,0
2023-01-03,NK,MIA,DEN,N198DL,0500,2,488,0.0,0
2023-01-03,WN,MIA,LAX,N145DL,1000,2,1115,0.0,0
2023-01-03,B6,JFK,DEN,N163DL,1900,2,791,1.0,0
2023-01-03,NK,MIA,JFK,N129DL,1300,2,2317,0.0,0
2023-01-03,DL,JFK,DFW,N192DL,0600,2,502,2.0,0
2023-01-03,WN,ATL,SEA,N138DL,2200,2,707,0.0,0
2023-01-03,B6,BOS,MIA,N366DL,2000,2,572,0.0,0
2023-01-03,AA,JFK,ORD,N202DL,2100,2,2412,0.0,0
2023-01-03,NK,SEA,ATL,N350DL,1300,2,2365,1.4,0
2023-01-03,DL,SEA,BOS,N277DL,2200,2,804,0.0,0
2023-01-03,NK,DEN,LAX,N269DL,0800,2,1603,0.0,0
2023-01-03,DL,ORD,SEA,N207DL,2000,2,1061,0.0,0
2023-01-03,AA,ORD,DEN,N139DL,1600,2,1348,0.0,0
2023-01-03,B6,JFK,ATL,N219DL,2200,2,211,0.6,0
2023-01-03,DL,ORD,LAX,N158DL,1300,2,1807,0.0,0
2023-01-03,B6,DFW,ORD,N266DL,1300,2,793,1.7,0
2023-01-03,AA,SEA,BOS,N228DL,0700,2,1691,3.6,0
2023-01-03,AA,ATL,DFW,N317DL,1200,2,2375,0.0,0
2023-01-03,DL,BOS,SEA,N248DL,0700,2,1493,0.0,0
2023-01-03,B6,ORD,ATL,N317DL,0900,2,678,30.8,0
2023-01-03,NK,MSP,SEA,N211DL,0500,2,884,0.0,0
2023-01-03,NK,JFK,MIA,N172DL,1500,2,779,0.0,0
2023-01-03,UA,MSP,SEA,N278DL,1800,2,2455,0.0,0
2023-01-03,AA,ORD,MIA,N200DL,1800,2,919,0.0,0
2023-01-03,B6,DFW,SEA,N194DL,1700,2,246,0.0,0
2023-01-03,WN,BOS,MIA,N391DL,0800,2,1542,0.0,0
2023-01-03,UA,MIA,DFW,N395DL,1000,2,1999,0.0,0
2023-01-03,NK,MIA,ATL,N211DL,1200,2,1490,49.2,0
2023-01-03,DL,MIA,ORD,N137DL,1500,2,220,1.6,0
2023-01-03,DL,ATL,MSP,N169DL,1900,2,1937,48.6,0
2023-01-03,DL,BOS,DEN,N147DL,0700,2,2302,0.0,0
2023-01-03,B6,JFK,DEN,N187DL,1900,2,1088,0.0,0
2023-01-03,DL,MIA,MSP,N123DL,1700,2,794,0.0,0
2023-01-03,AA,DFW,ORD,N187DL,0800,2,2342,0.0,0
2023-01-03,DL,MSP,BOS,N355DL,1300,2,1804,18.6,0
2023-01-03,WN,DFW,LAX,N254DL,2000,2,1300,7.0,0
2023-01-03,WN,JFK,BOS,N354DL,1000,2,1079,0.0,0
2023-01-03,B6,LAX,ORD,N238DL,0500,2,2026,25.1,0
2023-01-03,NK,ATL,MIA,N315DL,1100,2,1616,0.0,0
2023-01-03,NK,LAX,SEA,N264DL,1300,2,397,0.0,0
2023-01-03,AA,BOS,MSP,N200DL,0900,2,984,1.2,0
2023-01-03,DL,LAX,MIA,N333DL,2200,2,743,0.0,0
2023-01-03,WN,ATL,LAX,N185DL,1900,2,2285,0.0,0
2023-01-03,WN,MSP,DFW,N188DL,2200,2,1742,40.7,0
2023-01-03,DL,MIA,ATL,N136DL,1400,2,597,2.6,0
2023-01-03,UA,ATL,MIA,N289DL,0700,2,2231,3.6,0
2023-01-03,UA,BOS,DFW,N280DL,0900,2,1778,4.0,0
2023-01-03,DL,MIA,MSP,N272DL,1600,2,410,0.0,0
2023-01-03,UA,DEN,ORD,N118DL,1300,2,2197,0.0,0
2023-01-03,WN,MSP,SEA,N397DL,0600,2,2307,1.1,0
2023-01-03,AA,LAX,SEA,N119DL,0800,2,1825,0.0,0
2023-01-03,DL,MSP,DFW,N235DL,1400,2,2460,5.3,0
2023-01-03,WN,BOS,ORD,N244DL,2100,2,1288,0.0,0
2023-01-03,WN,ATL,JFK,N307DL,1800,2,1761,0.0,0
2023-01-04,NK,SEA,MSP,N261DL,2100,3,326,0.0,0
2023-01-04,B6,DFW,ATL,N172DL,1900,3,1061,0.0,0
2023-01-04,AA,MIA,ATL,N137DL,1200,3,1811,0.0,0
2023-01-04,AA,MIA,JFK,N325DL,1200,3,866,0.0,0
2023-01-04,UA,LAX,DEN,N374DL,2200,3,247,31.7,0
2023-01-04,UA,MIA,ATL,N176DL,2200,3,2006,0.0,0
2023-01-04,UA,MIA,SEA,N351DL,0700,3,1703,0.0,0
2023-01-04,B6,DFW,MSP,N158DL,1900,3,1264,2.8,0
2023-01-04,NK,ORD,JFK,N246DL,2000,3,2466,0.0,0
2023-01-04,DL,MSP,SEA,N334DL,0500,3,2082,56.5,0
2023-01-04,NK,JFK,DEN,N166DL,0800,3,1937,7.4,0
2023-01-04,NK,ATL,DFW,N110DL,1500,3,2125,0.1,0
2023-01-04,WN,ORD,BOS,N283DL,1700,3,1515,0.1,0
2023-01-04,WN,DFW,BOS,N276DL,2100,3,1859,0.0,0
2023-01-04,NK,JFK,ATL,N266DL,0900,3,1235,0.0,0
2023-01-04,NK,BOS,LAX,N321DL,2100,3,260,0.0,0
2023-01-04,DL,MSP,MIA,N187DL,1000,3,2409,7.1,0
2023-01-04,DL,JFK,LAX,N185DL,0600,3,933,2.0,0
2023-01-04,DL,SEA,ATL,N172DL,2200,3,626,0.9,0
2023-01-04,UA,ATL,ORD,N331DL,1400,3,2379,0.0,0
2023-01-04,NK,LAX,DFW,N356DL,1900,3,360,0.0,0
2023-01-04,AA,LAX,MSP,N171DL,2100,3,308,1.7,0
2023-01-04,DL,ATL,LAX,N352DL,2200,3,784,63.2,0
2023-01-04,WN,JFK,DFW,N391DL,1800,3,1135,41.7,0
2023-01-04,UA,DEN,BOS,N149DL,1600,3,2249,0.0,0
2023-01-04,AA,MSP,ORD,N176DL,1400,3,524,0.5,0
2023-01-04,WN,MSP,BOS,N157DL,1400,3,1937,0.0,0
2023-01-04,UA,ATL,LAX,N124DL,1700,3,640,0.3,0
2023-01-04,AA,BOS,LAX,N279DL,2000,3,1188,0.0,0
2023-01-04,WN,DEN,MIA,N179DL,0700,3,919,0.7,0
2023-01-04,DL,SEA,MSP,N127DL,1900,3,1926,0.0,0
2023-01-04,B6,JFK,DFW,N204DL,1100,3,2282,0.0,0
2023-01-04,AA,MSP,DFW,N370DL,0800,3,1004,2.9,0
2023-01-04,NK,MSP,BOS,N194DL,0500,3,619,6.6,0
2023-01-04,AA,DEN,MSP,N377DL,1900,3,463,0.0,0
2023-01-04,B6,LAX,MSP,N301DL,1900,3,822,42.3,0
2023-01-04,AA,DFW,BOS,N261DL,2200,3,559,0.0,0
2023-01-04,AA,ORD,ATL,N332DL,0700,3,818,2.3,0
2023-01-04,NK,DFW,MIA,N399DL,0500,3,1982,0.0,0
2023-01-04,WN,BOS,MIA,N371DL,1200,3,1803,0.0,0
2023-01-04,NK,BOS,JFK,N202DL,1300,3,1893,1.0,0
2023-01-04,B6,DEN,ORD,N335DL,1200,3,1450,3.1,0
2023-01-04,WN,ATL,BOS,N112DL,2100,3,2358,14.8,0
2023-01-04,NK,JFK,DEN,N328DL,2000,3,1291,0.0,0
2023-01-04,AA,MIA,DFW,N116DL,1500,3,1483,0.8,0
2023-01-04,UA,ATL,ORD,N236DL,0500,3,2317,2.4,0
2023-01-04,WN,LAX,MIA,N237DL,1600,3,1154,16.0,0
2023-01-04,UA,MIA,ATL,N243DL,1600,3,942,4.6,0
2023-01-04,DL,DEN,LAX,N257DL,1000,3,1185,0.0,0
2023-01-04,AA,JFK,DEN,N377DL,1600,3,1113,3.8,0
2023-01-04,B6,SEA,DFW,N365DL,0500,3,1940,0.0,0
2023-01-04,NK,DEN,BOS,N149DL,1400,3,2414,13.6,0
2023-01-04,DL,LAX,DEN,N269DL,1500,3,613,0.0,0
2023-01-04,AA,SEA,DFW,N205DL,1800,3,2037,0.0,0
2023-01-04,UA,BOS,SEA,N210DL,0600,3,1527,0.0,0
2023-01-04,UA,LAX,JFK,N153DL,1200,3,1737,40.2,0
2023-01-04,DL,DEN,BOS,N297DL,1300,3,247,0.0,0
2023-01-04,AA,ORD,DFW,N331DL,1900,3,2309,0.0,0
2023-01-04,NK,MIA,ATL,N182DL,0800,3,2278,0.0,0
2023-01-04,AA,ATL,BOS,N213DL,1300,3,397,2.1,0
2023-01-04,WN,MSP,DEN,N215DL,1300,3,1720,3.1,0
2023-01-04,NK,JFK,BOS,N107DL,1400,3,1640,0.0,0
2023-01-04,DL,ORD,JFK,N211DL,2000,3,668,62.4,0
2023-01-04,B6,ORD,BOS,N258DL,1200,3,1763,0.0,0
2023-01-04,UA,DEN,BOS,N287DL,0900,3,1357,43.7,0
2023-01-04,DL,JFK,SEA,N288DL,2200,3,2012,41.2,0
2023-01-04,NK,MIA,ORD,N317DL,1900,3,1711,0.0,0
2023-01-05,B6,JFK,BOS,N337DL,1900,4,1143,34.6,0
2023-01-05,B6,DFW,MIA,N114DL,0800,4,1962,0.0,0
2023-01-05,WN,ORD,SEA,N142DL,0700,4,1756,2.2,0
2023-01-05,UA,DFW,JFK,N331DL,1200,4,910,0.0,0
2023-01-05,NK,DFW,LAX,N132DL,2200,4,1590,0.0,0
2023-01-05,WN,DFW,MSP,N320DL,0500,4,1597,6.0,0
2023-01-05,B6,MIA,BOS,N115DL,1800,4,686,0.3,0
2023-01-05,B6,MSP,DFW,N314DL,1200,4,488,2.4,0
2023-01-05,WN,BOS,DFW,N183DL,1100,4,739,0.0,0
2023-01-05,B6,MIA,ORD,N342DL,1200,4,1257,0.0,0
2023-01-05,UA,LAX,MSP,N305DL,2000,4,613,0.0,0
2023-01-05,UA,DEN,BOS,N290DL,2100,4,684,28.1,0
2023-01-05,AA,ATL,SEA,N170DL,1600,4,1751,0.0,0
2023-01-05,NK,MSP,LAX,N335DL,1900,4,1505,13.7,0
2023-01-05,UA,ATL,BOS,N387DL,1600,4,409,0.0,0
2023-01-05,B6,MIA,ORD,N233DL,1000,4,2192,2.5,0
2023-01-05,WN,JFK,BOS,N127DL,1600,4,1728,0.0,0
2023-01-05,B6,ATL,ORD,N227DL,1700,4,719,0.0,0
2023-01-05,WN,DEN,ATL,N378DL,0700,4,588,0.9,0
2023-01-05,UA,DFW,SEA,N390DL,1500,4,622,0.0,0
2023-01-05,DL,ORD,DEN,N260DL,1900,4,1316,2.0,0
2023-01-05,AA,BOS,ORD,N247DL,1500,4,1058,0.0,0
2023-01-05,B6,SEA,BOS,N391DL,1100,4,480,0.0,0
2023-01-05,NK,MIA,BOS,N135DL,2000,4,777,0.0,0
2023-01-05,UA,BOS,MIA,N300DL,1800,4,616,3.2,0
2023-01-05,UA,MSP,JFK,N311DL,1400,4,458,0.0,0
2023-01-05,DL,MIA,LAX,N274DL,1800,4,2021,0.0,0
2023-01-05,WN,BOS,ORD,N103DL,1300,4,1039,0.0,0
2023-01-05,AA,SEA,DFW,N159DL,1200,4,797,36.0,0
2023-01-05,B6,LAX,JFK,N177DL,1600,4,2172,35.4,0
2023-01-05,UA,MIA,ATL,N399DL,1200,4,2052,0.0,0
2023-01-05,NK,ATL,LAX,N161DL,1200,4,801,0.0,0
2023-01-05,DL,LAX,BOS,N237DL,0900,4,970,59.0,0
2023-01-05,AA,DFW,MSP,N173DL,1700,4,1126,1.4,0
2023-01-05,WN,DFW,MSP,N166DL,2200,4,1486,4.4,0
2023-01-05,AA,DFW,MSP,N197DL,1400,4,2211,0.0,0
2023-01-05,UA,LAX,ORD,N155DL,1000,4,2149,7.8,0
2023-01-05,UA,MIA,SEA,N143DL,0600,4,728,0.0,0
2023-01-05,AA,SEA,BOS,N136DL,0700,4,775,0.0,0
2023-01-05,DL,ORD,JFK,N343DL,0600,4,1411,0.0,0
2023-01-05,DL,ATL,ORD,N248DL,0800,4,2169,0.0,0
2023-01-05,UA,LAX,DFW,N335DL,0900,4,2322,1.1,0
2023-01-05,WN,JFK,MSP,N221DL,2100,4,587,3.4,0
2023-01-05,DL,DEN,SEA,N161DL,2100,4,1563,35.0,0
2023-01-05,B6,MSP,MIA,N390DL,2200,4,2338,0.0,0
2023-01-05,AA,LAX,DFW,N198DL,1700,4,1027,0.0,0
2023-01-05,WN,ATL,MIA,N291DL,1200,4,1212,0.0,0
2023-01-05,NK,SEA,MIA,N224DL,1800,4,815,4.7,0
2023-01-05,AA,JFK,SEA,N170DL,0600,4,525,0.0,0
2023-01-05,DL,LAX,SEA,N220DL,1200,4,470,0.0,0
2023-01-05,B6,SEA,ORD,N175DL,1700,4,2207,0.0,0
2023-01-05,NK,ORD,MSP,N233DL,1200,4,1861,1.7,0
2023-01-05,NK,DEN,DFW,N282DL,2000,4,524,11.5,0
2023-01-05,WN,ATL,DEN,N319DL,1600,4,1860,16.1,0
2023-01-05,WN,ATL,LAX,N386DL,2100,4,1340,0.0,0
